Product_ID,Product_Name,Category,Sub_Category,Price,Customer_Age,Customer_Gender,Purchase_History,Review_Rating,Review_Sentiment,Product_new
P0001,Sweater,Clothing,Pants,38.44,58,Male,16,2,Negative,SweaterHola
P0002,Dining Table,Furniture,Chair,408.46,53,Female,4,5,Very Positive,Dining TableHola
P0003,Skincare Cream,Beauty,Hair Care,22.04,54,Male,7,2,Negative,Skincare CreamHola
P0004,Skincare Cream,Beauty,Makeup,145.24,27,Female,21,4,Neutral,Skincare CreamHola
P0005,Bluetooth Speaker,Electronics,Headphones,862.61,44,Female,27,5,Very Positive,Bluetooth SpeakerHola
P0006,Sweater,Clothing,Jackets,138.96,48,Male,17,4,Positive,SweaterHola
P0007,Chair,Furniture,Bookshelf,1356.63,57,Male,1,4,Very Positive,ChairHola
P0008,Chair,Furniture,Sofa,1134.92,51,Male,9,4,Positive,ChairHola
P0009,Bicycle,Sports,Football,674.0,31,Female,23,4,Positive,BicycleHola
P0010,Nail Polish,Beauty,Hair Care,62.71,60,Male,7,4,Neutral,Nail PolishHola
P0011,Football,Sports,Tennis Racket,281.99,36,Male,30,5,Very Positive,FootballHola
P0012,T-Shirt,Clothing,Sweaters,182.12,18,Female,18,3,Neutral,T-ShirtHola
P0013,Refrigerator,Home Appliances,Refrigerator,554.23,19,Female,43,4,Positive,RefrigeratorHola
P0014,Football,Sports,Tennis Racket,544.25,60,Male,17,5,Positive,FootballHola
P0015,Dishwasher,Home Appliances,Vacuum Cleaner,632.87,51,Male,0,5,Very Positive,DishwasherHola
P0016,Bluetooth Speaker,Electronics,Speakers,196.31,38,Female,23,3,Positive,Bluetooth SpeakerHola
P0017,Cabinet,Furniture,Sofa,917.48,56,Male,10,5,Positive,CabinetHola
P0018,T-Shirt,Clothing,Shoes,172.35,57,Female,20,4,Neutral,T-ShirtHola
P0019,Vacuum Cleaner,Home Appliances,Washing Machine,206.43,39,Male,24,5,Positive,Vacuum CleanerHola
P0020,Wireless Mouse,Electronics,Tablets,1190.96,32,Female,20,4,Very Positive,Wireless MouseHola
P0021,Tennis Racket,Sports,Basketball,119.47,27,Female,25,3,Neutral,Tennis RacketHola
P0022,Football,Sports,Tennis Racket,324.59,48,Male,24,4,Positive,FootballHola
P0023,Nail Polish,Beauty,Makeup,112.0,25,Male,10,5,Neutral,Nail PolishHola
P0024,Football,Sports,Bicycle,49.89,54,Male,19,1,Negative,FootballHola
P0025,Lipstick,Beauty,Hair Care,129.68,29,Male,27,5,Neutral,LipstickHola
P0026,Lipstick,Beauty,Fragrance,30.67,58,Female,3,3,Negative,LipstickHola
P0027,T-Shirt,Clothing,Dresses,95.48,44,Male,14,3,Neutral,T-ShirtHola
P0028,Vacuum Cleaner,Home Appliances,Air Conditioner,230.39,31,Male,16,5,Positive,Vacuum CleanerHola
P0029,Smartphone,Electronics,Tablets,325.36,27,Female,29,4,Positive,SmartphoneHola
P0030,Football,Sports,Bicycle,127.73,51,Female,18,4,Neutral,FootballHola
P0031,T-Shirt,Clothing,Dresses,106.64,57,Male,13,3,Positive,T-ShirtHola
P0032,Pants,Clothing,T-Shirts,174.98,37,Female,26,3,Neutral,PantsHola
P0033,Air Conditioner,Home Appliances,Microwave,918.36,21,Female,24,4,Very Positive,Air ConditionerHola
P0034,Shampoo,Beauty,Nail Polish,37.54,24,Female,11,2,Neutral,ShampooHola
P0035,Soccer Ball,Sports,Yoga Mat,657.58,26,Female,49,4,Very Positive,Soccer BallHola
P0036,Laptop,Electronics,Tablets,1154.45,65,Male,11,5,Very Positive,LaptopHola
P0037,Headphones,Electronics,Smartwatches,1146.26,29,Male,42,4,Very Positive,HeadphonesHola
P0038,Skincare Cream,Beauty,Makeup,117.82,44,Male,23,4,Positive,Skincare CreamHola
P0039,Soccer Ball,Sports,Basketball,190.44,34,Female,30,5,Neutral,Soccer BallHola
P0040,Skincare Cream,Beauty,Hair Care,135.03,50,Female,12,5,Positive,Skincare CreamHola
P0041,Nail Polish,Beauty,Hair Care,20.88,36,Female,14,2,Neutral,Nail PolishHola
P0042,Lipstick,Beauty,Makeup,81.69,43,Male,25,3,Positive,LipstickHola
P0043,Smartwatch,Electronics,Mobile Phones,507.89,33,Female,10,5,Positive,SmartwatchHola
P0044,Air Conditioner,Home Appliances,Washing Machine,475.28,63,Male,16,4,Very Positive,Air ConditionerHola
P0045,Skincare Cream,Beauty,Hair Care,162.11,53,Male,4,4,Positive,Skincare CreamHola
P0046,Shoes,Clothing,Sweaters,24.79,37,Female,25,2,Neutral,ShoesHola
P0047,Couch,Furniture,Table,729.51,35,Male,24,5,Very Positive,CouchHola
P0048,Headphones,Electronics,Speakers,309.54,46,Male,14,4,Positive,HeadphonesHola
P0049,Bluetooth Speaker,Electronics,Speakers,980.31,62,Female,19,5,Very Positive,Bluetooth SpeakerHola
P0050,Refrigerator,Home Appliances,Washing Machine,636.71,31,Female,19,4,Positive,RefrigeratorHola
P0051,Tennis Racket,Sports,Bicycle,346.99,22,Male,33,4,Positive,Tennis RacketHola
P0052,Air Conditioner,Home Appliances,Washing Machine,860.57,25,Female,49,4,Positive,Air ConditionerHola
P0053,Vacuum Cleaner,Home Appliances,Microwave,373.64,62,Female,8,4,Very Positive,Vacuum CleanerHola
P0054,Air Conditioner,Home Appliances,Refrigerator,228.73,23,Female,10,4,Positive,Air ConditionerHola
P0055,Headphones,Electronics,Tablets,407.96,48,Male,14,4,Very Positive,HeadphonesHola
P0056,Refrigerator,Home Appliances,Refrigerator,508.45,38,Female,24,5,Very Positive,RefrigeratorHola
P0057,Bookshelf,Furniture,Bookshelf,1337.29,47,Male,21,4,Positive,BookshelfHola
P0058,Wireless Mouse,Electronics,Tablets,1417.75,38,Male,14,5,Very Positive,Wireless MouseHola
P0059,Soccer Ball,Sports,Yoga Mat,215.63,42,Female,11,4,Positive,Soccer BallHola
P0060,Football,Sports,Basketball,689.4,21,Male,49,4,Very Positive,FootballHola
P0061,Bicycle,Sports,Football,504.89,54,Female,6,5,Very Positive,BicycleHola
P0062,Basketball,Sports,Football,552.77,35,Female,19,4,Positive,BasketballHola
P0063,Chair,Furniture,Cabinet,745.53,19,Male,17,5,Very Positive,ChairHola
P0064,Couch,Furniture,Sofa,418.56,48,Male,11,4,Very Positive,CouchHola
P0065,Basketball,Sports,Tennis Racket,599.39,53,Female,4,4,Very Positive,BasketballHola
P0066,Smartphone,Electronics,Laptops,783.19,35,Female,17,4,Positive,SmartphoneHola
P0067,Refrigerator,Home Appliances,Refrigerator,941.83,64,Female,10,5,Positive,RefrigeratorHola
P0068,Tennis Racket,Sports,Tennis Racket,30.11,62,Female,11,2,Negative,Tennis RacketHola
P0069,Smartwatch,Electronics,Tablets,325.33,51,Female,12,5,Very Positive,SmartwatchHola
P0070,Wireless Mouse,Electronics,Speakers,875.37,22,Male,17,5,Very Positive,Wireless MouseHola
P0071,Washing Machine,Home Appliances,Microwave,702.89,49,Female,11,5,Very Positive,Washing MachineHola
P0072,T-Shirt,Clothing,Sweaters,192.97,62,Female,17,3,Neutral,T-ShirtHola
P0073,Bicycle,Sports,Football,545.35,63,Female,16,5,Very Positive,BicycleHola
P0074,Yoga Mat,Sports,Football,630.0,34,Female,12,5,Very Positive,Yoga MatHola
P0075,Dress,Clothing,Shoes,158.89,41,Female,27,3,Positive,DressHola
P0076,Foundation,Beauty,Nail Polish,138.98,54,Female,5,5,Neutral,FoundationHola
P0077,Football,Sports,Tennis Racket,378.83,54,Male,13,5,Positive,FootballHola
P0078,Air Conditioner,Home Appliances,Air Conditioner,631.99,47,Male,28,5,Very Positive,Air ConditionerHola
P0079,Refrigerator,Home Appliances,Microwave,490.63,43,Male,25,4,Very Positive,RefrigeratorHola
P0080,Bluetooth Speaker,Electronics,Smartwatches,1470.59,18,Male,21,4,Positive,Bluetooth SpeakerHola
P0081,Headphones,Electronics,Speakers,1201.94,60,Male,15,4,Very Positive,HeadphonesHola
P0082,Foundation,Beauty,Fragrance,161.47,52,Male,1,5,Positive,FoundationHola
P0083,Bicycle,Sports,Basketball,668.03,65,Male,12,5,Very Positive,BicycleHola
P0084,Washing Machine,Home Appliances,Air Conditioner,696.33,41,Male,14,4,Very Positive,Washing MachineHola
P0085,Shampoo,Beauty,Makeup,38.65,28,Male,16,3,Negative,ShampooHola
P0086,Headphones,Electronics,Laptops,394.43,34,Female,13,5,Positive,HeadphonesHola
P0087,Dishwasher,Home Appliances,Air Conditioner,131.89,57,Male,1,5,Positive,DishwasherHola
P0088,Couch,Furniture,Sofa,424.7,60,Female,15,4,Positive,CouchHola
P0089,Lipstick,Beauty,Nail Polish,46.61,22,Female,26,3,Negative,LipstickHola
P0090,Bicycle,Sports,Football,299.04,24,Male,14,5,Very Positive,BicycleHola
P0091,Air Conditioner,Home Appliances,Refrigerator,592.18,34,Female,12,5,Very Positive,Air ConditionerHola
P0092,Yoga Mat,Sports,Football,641.56,63,Female,17,5,Positive,Yoga MatHola
P0093,Air Conditioner,Home Appliances,Air Conditioner,911.19,35,Male,29,5,Very Positive,Air ConditionerHola
P0094,Chair,Furniture,Bookshelf,717.85,55,Female,15,5,Very Positive,ChairHola
